20260914T1818	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise1	move0	picks_lost0	samples72
20260914T1818	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise1	move0	picks_lost0	samples51
20260914T1818	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples39
20260914T1827	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise2	move0	picks_lost0	samples53
20260914T1827	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise1	move0	picks_lost0	samples72
20260914T1827	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples39
20260914T1827	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise1	move0	picks_lost0	samples50
20260914T1837	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise2	move0	picks_lost0	samples59
20260914T1837	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise1	move0	picks_lost0	samples69
20260914T1837	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise1	move0	picks_lost0	samples51
20260914T1837	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples31
20260914T1846	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise1	move0	picks_lost0	samples46
20260914T1846	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise1	move0	picks_lost0	samples71
20260914T1846	bravo-pocket-with-pickaxe	candidate	mcai-rlpocket	alive	not	rise1	move0	picks_lost0	samples48
20260914T1846	bravo-pocket-with-pickaxe	control	mcai-rl02	alive	not	rise0	move0	picks_lost0	samples35
20260914T2238	ledge-over-lava-goto	candidate	mcai-recovery	alive	not	rise6	move14	picks_lost0	samples235
20260914T2238	ledge-over-lava-goto	control	mcai-rl06	alive	not	rise6	move13	picks_lost0	samples43
20260914T2238	ledge-over-lava-goto	candidate	mcai-recovery	alive	not	rise6	move13	picks_lost0	samples54
20260914T2238	ledge-over-lava-goto	control	mcai-rl06	alive	not	rise5	move12	picks_lost0	samples42
20260914T2238	lava-edge-water-hold	control	mcai-rl06	DIED	not	rise0	move0	picks_lost0	samples42
20260914T2238	lava-edge-water-hold	candidate	mcai-recovery	DIED	not	rise0	move0	picks_lost0	samples43
20260914T2238	lava-edge-water-hold	control	mcai-rl06	DIED	not	rise0	move0	picks_lost0	samples43
20260914T2238	lava-edge-water-hold	candidate	mcai-recovery	DIED	not	rise0	move0	picks_lost0	samples44
20260914T2238	lava-adjacent-idle	candidate	mcai-recovery	alive	not	rise0	move3	picks_lost0	samples26
20260914T2238	lava-adjacent-idle	control	mcai-rl06	alive	not	rise0	move3	picks_lost0	samples25
20260914T2238	lava-adjacent-idle	control	mcai-rl06	alive	not	rise0	move4	picks_lost0	samples27
20260914T2238	lava-adjacent-idle	candidate	mcai-recovery	alive	not	rise2	move6	picks_lost0	samples37
20260915T0331	lava-edge-water-hold	control	mcai-rl07	DIED	not	rise0	move0	picks_lost0	samples46
20260915T0331	lava-edge-water-hold	candidate	mcai-rllava	DIED	not	rise1	move6	picks_lost0	samples48
20260915T0331	lava-edge-water-hold	candidate	mcai-rllava	DIED	not	rise0	move0	picks_lost0	samples48
20260915T0331	lava-edge-water-hold	control	mcai-rl07	DIED	not	rise0	move0	picks_lost0	samples49
20260916T2109	ledge-over-lava-goto-deathsite	control	mcai-b1011b	alive	not	rise6	move11	picks_lost0	samples109
20260916T2109	ledge-over-lava-goto-deathsite	candidate	mcai-deathsites	alive	not	rise6	move14	picks_lost0	samples104
